id, palette, k, r, g, b, hue, sat, lum
0x000a0a11c8, Normal, 10, 10, 17, 200, 237.78947368421052, 0.9047619047619049, 0.4117647058823529
0x000a0a28fe, Normal, 10, 10, 40, 254, 232.62295081967216, 0.9918699186991872, 0.5176470588235295
0x000a0c71b8, Normal, 10, 12, 113, 184, 204.76744186046514, 0.8775510204081634, 0.38431372549019605
0x000a0e3069, Normal, 10, 14, 48, 105, 217.58241758241758, 0.764705882352941, 0.23333333333333334
0x000a0eb638, Normal, 10, 14, 182, 56, 135, 0.8571428571428571, 0.3843137254901961
0x000a0f327d, Normal, 10, 15, 50, 125, 220.9090909090909, 0.7857142857142857, 0.2745098039215686
0x000a1557e6, Normal, 10, 21, 87, 230, 221.05263157894737, 0.8326693227091633, 0.49215686274509807
0x000a1d7c9a, Normal, 10, 29, 124, 154, 194.4, 0.6830601092896175, 0.3588235294117647
0x000a27f570, Normal, 10, 39, 245, 112, 141.2621359223301, 0.9115044247787611, 0.5568627450980392
0x000a2ba752, Normal, 10, 43, 167, 82, 138.8709677419355, 0.5904761904761905, 0.4117647058823529
0x000a309aa7, Normal, 10, 48, 154, 167, 186.5546218487395, 0.5534883720930233, 0.4215686274509804
0x000a33ade0, Normal, 10, 51, 173, 224, 197.68786127167633, 0.7361702127659574, 0.5392156862745098
0x000a341147, Normal, 10, 52, 17, 71, 278.88888888888886, 0.6136363636363638, 0.17254901960784313
0x000a359f3a, Normal, 10, 53, 159, 58, 122.83018867924528, 0.49999999999999994, 0.41568627450980394
0x000a35b3f5, Normal, 10, 53, 179, 245, 200.625, 0.9056603773584906, 0.5843137254901961
0x000a36385b, Normal, 10, 54, 56, 91, 236.75675675675677, 0.25517241379310346, 0.28431372549019607
0x000a388234, Normal, 10, 56, 130, 52, 116.92307692307692, 0.4285714285714286, 0.35686274509803917
0x000a421716, Normal, 10, 66, 23, 22, 1.3636363636363635, 0.5000000000000001, 0.17254901960784313
0x000a4242ca, Normal, 10, 66, 66, 202, 240, 0.5619834710743801, 0.5254901960784314
0x000a42ce3f, Normal, 10, 66, 206, 63, 118.74125874125873, 0.5933609958506224, 0.5274509803921569
0x000a45367e, Normal, 10, 69, 54, 126, 252.49999999999997, 0.39999999999999997, 0.35294117647058826
0x000a463c29, Normal, 10, 70, 60, 41, 39.31034482758619, 0.26126126126126126, 0.21764705882352942
0x000a48ad9f, Normal, 10, 72, 173, 159, 171.68316831683168, 0.4122448979591837, 0.4803921568627451
0x000a49a817, Normal, 10, 73, 168, 23, 99.3103448275862, 0.7591623036649214, 0.37450980392156863
0x000a4b2611, Normal, 10, 75, 38, 17, 21.72413793103448, 0.6304347826086957, 0.1803921568627451
0x000a4c621e, Normal, 10, 76, 98, 30, 79.41176470588236, 0.5312500000000001, 0.25098039215686274
0x000a4c6b18, Normal, 10, 76, 107, 24, 82.40963855421687, 0.633587786259542, 0.2568627450980392
0x000a50f3c5, Normal, 10, 80, 243, 197, 163.06748466257667, 0.871657754010695, 0.6333333333333333
0x000a5351de, Normal, 10, 83, 81, 222, 240.85106382978722, 0.6811594202898551, 0.5941176470588235
0x000a5ac4cf, Normal, 10, 90, 196, 207, 185.64102564102564, 0.5492957746478874, 0.5823529411764706
0x000a5c2eec, Normal, 10, 92, 46, 236, 254.5263157894737, 0.8333333333333334, 0.5529411764705883
0x000a5d4854, Normal, 10, 93, 72, 84, 325.7142857142857, 0.12727272727272726, 0.32352941176470584
0x000a61d861, Normal, 10, 97, 216, 97, 120, 0.6040609137055838, 0.6137254901960785
0x000a6344a4, Normal, 10, 99, 68, 164, 259.375, 0.41379310344827586, 0.4549019607843138
0x000a6387e8, Normal, 10, 99, 135, 232, 223.75939849624058, 0.7430167597765363, 0.6490196078431373
0x000a643572, Normal, 10, 100, 53, 114, 286.2295081967213, 0.3652694610778443, 0.32745098039215687
0x000a67f2c8, Normal, 10, 103, 242, 200, 161.8705035971223, 0.8424242424242424, 0.6764705882352942
0x000a690b99, Normal, 10, 105, 11, 153, 279.7183098591549, 0.8658536585365855, 0.32156862745098036
0x000a6a6307, Normal, 10, 106, 99, 7, 55.75757575757576, 0.8761061946902655, 0.2215686274509804
0x000a748e43, Normal, 10, 116, 142, 67, 80.8, 0.35885167464114837, 0.40980392156862744
0x000a748f9e, Normal, 10, 116, 143, 158, 201.42857142857144, 0.17796610169491528, 0.5372549019607843
0x000a770426, Normal, 10, 119, 4, 38, 342.2608695652174, 0.9349593495934958, 0.2411764705882353
0x000a7b0a11, Normal, 10, 123, 10, 17, 356.283185840708, 0.8496240601503758, 0.2607843137254902
0x000a7ba1c3, Normal, 10, 123, 161, 195, 208.33333333333334, 0.37499999999999994, 0.6235294117647059
0x000a81e031, Normal, 10, 129, 224, 49, 92.57142857142857, 0.7383966244725738, 0.5352941176470588
0x000a880ec4, Normal, 10, 136, 14, 196, 280.21978021978026, 0.8666666666666666, 0.411764705882353
0x000a897988, Normal, 10, 137, 121, 136, 303.75, 0.06349206349206349, 0.5058823529411764
0x000a8a7eb1, Normal, 10, 138, 126, 177, 254.11764705882354, 0.24637681159420285, 0.5941176470588235
0x000a8cd3ab, Normal, 10, 140, 211, 171, 146.19718309859155, 0.4465408805031445, 0.6882352941176471
0x000a918632, Normal, 10, 145, 134, 50, 53.05263157894737, 0.4871794871794872, 0.38235294117647056
0x000a929f50, Normal, 10, 146, 159, 80, 69.87341772151899, 0.33054393305439334, 0.46862745098039216
0x000a97a939, Normal, 10, 151, 169, 57, 69.64285714285714, 0.49557522123893805, 0.44313725490196076
0x000a99bef5, Normal, 10, 153, 190, 245, 215.86956521739128, 0.8214285714285715, 0.7803921568627451
0x000a9a08f1, Normal, 10, 154, 8, 241, 277.59656652360513, 0.9357429718875502, 0.48823529411764705
0x000a9e86b1, Normal, 10, 158, 134, 177, 273.48837209302326, 0.21608040201005022, 0.6098039215686275
0x000a9f9d7a, Normal, 10, 159, 157, 122, 56.75675675675677, 0.1615720524017467, 0.5509803921568628
