row, id, palette, design, pose, facing, color, r, g, b, hue, sat, lum, mint
11000, 0x006e0b6a0f, Normal, 110, Pouncing, Right, Green, 11, 106, 15, 122.53, 81.20%, 22.94%, 5928
11001, 0x006e0e9e37, Normal, 110, Pouncing, Right, Green, 14, 158, 55, 137.08, 83.72%, 33.73%, 5381
11002, 0x006e0f6ec0, Normal, 110, Pouncing, Right, Cyan, 15, 110, 192, 207.80, 85.51%, 40.59%, 7320
11003, 0x006e1075ea, Normal, 110, Pouncing, Right, Sky Blue, 16, 117, 234, 212.20, 87.20%, 49.02%, 8370
11004, 0x006e121f62, Normal, 110, Pouncing, Right, Sky Blue, 18, 31, 98, 230.25, 68.97%, 22.75%, 22847
11005, 0x006e14a777, Normal, 110, Pouncing, Right, Lime Green, 20, 167, 119, 160.41, 78.61%, 36.67%, 6967
11006, 0x006e17e10f, Normal, 110, Pouncing, Right, Chartreuse, 23, 225, 15, 117.71, 87.50%, 47.06%, 6404
11007, 0x006e181709, Normal, 110, Pouncing, Right, Orange, 24, 23, 9, 56.00, 45.45%, 6.47%, 18404
11008, 0x006e1bcab6, Normal, 110, Pouncing, Right, Lime Green, 27, 202, 182, 173.14, 76.42%, 44.90%, 10837
11009, 0x006e1f1392, Normal, 110, Pouncing, Right, Blue, 31, 19, 146, 245.67, 76.97%, 32.35%, 12561
11010, 0x006e1f596c, Normal, 110, Pouncing, Right, Cyan, 31, 89, 108, 194.81, 55.40%, 27.25%, 10448
11011, 0x006e20c8ad, Normal, 110, Pouncing, Right, Lime Green, 32, 200, 173, 170.36, 72.41%, 45.49%, 10151
11012, 0x006e279384, Normal, 110, Pouncing, Right, Lime Green, 39, 147, 132, 171.67, 58.06%, 36.47%, 17108
11013, 0x006e2b9fb0, Normal, 110, Pouncing, Right, Cyan, 43, 159, 176, 187.67, 60.73%, 42.94%, 7725
11014, 0x006e2e922f, Normal, 110, Pouncing, Right, Green, 46, 146, 47, 120.60, 52.08%, 37.65%, 23751
11015, 0x006e2eed45, Normal, 110, Pouncing, Right, Green, 46, 237, 69, 127.23, 84.14%, 55.49%, 3541
11016, 0x006e2f7fbd, Normal, 110, Pouncing, Right, Cyan, 47, 127, 189, 206.20, 60.17%, 46.27%, 17314
