row, id, palette, pattern, pose, facing, face, fur, color, r, g, b, hue, sat, lum, mint
14000, 0x008ba297e2, Inverted, 11, Stalking, Left, Smile, Eyepatch, Blue, 162, 151, 226, 248.80°, 56.39%, 73.92%, 5100
14001, 0x008ba4a335, Inverted, 11, Stalking, Left, Smile, Eyepatch, Orange, 164, 163, 53, 59.46°, 51.15%, 42.55%, 1533
14002, 0x008ba8c4ec, Inverted, 11, Stalking, Left, Smile, Eyepatch, Sky Blue, 168, 196, 236, 215.29°, 64.15%, 79.22%, 3941
14003, 0x008babe0e9, Inverted, 11, Stalking, Left, Smile, Eyepatch, Cyan, 171, 224, 233, 188.71°, 58.49%, 79.22%, 22797
14004, 0x008bad1ccc, Inverted, 11, Stalking, Left, Smile, Eyepatch, Purple, 173, 28, 204, 289.43°, 75.86%, 45.49%, 3334
14005, 0x008bad7091, Inverted, 11, Stalking, Left, Smile, Eyepatch, Magenta, 173, 112, 145, 327.54°, 27.11%, 55.88%, 16086
14006, 0x008bae546d, Inverted, 11, Stalking, Left, Smile, Eyepatch, Fuscia, 174, 84, 109, 343.33°, 35.71%, 50.59%, 13471
14007, 0x008bb3dc81, Inverted, 11, Stalking, Left, Smile, Eyepatch, Yellow, 179, 220, 129, 87.03°, 56.52%, 68.43%, 49
14008, 0x008bb557dc, Inverted, 11, Stalking, Left, Smile, Eyepatch, Purple, 181, 87, 220, 282.41°, 65.52%, 60.20%, 6390
14009, 0x008bb587cc, Inverted, 11, Stalking, Left, Smile, Eyepatch, Purple, 181, 135, 204, 280.00°, 40.35%, 66.47%, 23222
14010, 0x008bbbcb3b, Inverted, 11, Stalking, Left, Smile, Eyepatch, Yellow, 187, 203, 59, 66.67°, 58.06%, 51.37%, 13647
14011, 0x008bbc2700, Inverted, 11, Stalking, Left, Smile, Eyepatch, Red, 188, 39, 0, 12.45°, 100.00%, 36.86%, 10538
14012, 0x008bbf91c3, Inverted, 11, Stalking, Left, Smile, Eyepatch, Purple, 191, 145, 195, 295.20°, 29.41%, 66.67%, 4192
14013, 0x008bc6b9b9, Inverted, 11, Stalking, Left, Smile, Eyepatch, Red, 198, 185, 185, 0.00°, 10.24%, 75.10%, 1578
14014, 0x008bc74742, Inverted, 11, Stalking, Left, Smile, Eyepatch, Red, 199, 71, 66, 2.26°, 54.29%, 51.96%, 9522
14015, 0x008bcf9ab9, Inverted, 11, Stalking, Left, Smile, Eyepatch, Magenta, 207, 154, 185, 324.91°, 35.57%, 70.78%, 5650
14016, 0x008bd3dda5, Inverted, 11, Stalking, Left, Smile, Eyepatch, Yellow, 211, 221, 165, 70.71°, 45.16%, 75.69%, 9403
14017, 0x008bd47968, Inverted, 11, Stalking, Left, Smile, Eyepatch, Red, 212, 121, 104, 9.44°, 55.67%, 61.96%, 10667
14018, 0x008bd87209, Inverted, 11, Stalking, Left, Smile, Eyepatch, Orange, 216, 114, 9, 30.43°, 92.00%, 44.12%, 14695
14019, 0x008bd989ac, Inverted, 11, Stalking, Left, Smile, Eyepatch, Fuscia, 217, 137, 172, 333.75°, 51.28%, 69.41%, 6582
14020, 0x008bda7759, Inverted, 11, Stalking, Left, Smile, Eyepatch, Red, 218, 119, 89, 13.95°, 63.55%, 60.20%, 20381
14021, 0x008bdc97f4, Inverted, 11, Stalking, Left, Smile, Eyepatch, Purple, 220, 151, 244, 284.52°, 80.87%, 77.45%, 17292
14022, 0x008bde0c4b, Inverted, 11, Stalking, Left, Smile, Eyepatch, Fuscia, 222, 12, 75, 342.00°, 89.74%, 45.88%, 16415
14023, 0x008bde3d3f, Inverted, 11, Stalking, Left, Smile, Eyepatch, Fuscia, 222, 61, 63, 359.25°, 70.93%, 55.49%, 8914
